Name;Station;Time;Precipitation
Overhalla - Unnset;SN72650;2019-09-01;0
Overhalla - Unnset;SN72650;2019-09-02;4.8
Overhalla - Unnset;SN72650;2019-09-03;1.6
Overhalla - Unnset;SN72650;2019-09-04;3.5
Overhalla - Unnset;SN72650;2019-09-05;10.6
Overhalla - Unnset;SN72650;2019-09-06;17.2
Overhalla - Unnset;SN72650;2019-09-07;5.7
Overhalla - Unnset;SN72650;2019-09-08;0.1
Overhalla - Unnset;SN72650;2019-09-09;0
Overhalla - Unnset;SN72650;2019-09-10;0.1
Overhalla - Unnset;SN72650;2019-09-11;0
Overhalla - Unnset;SN72650;2019-09-12;2.5
Overhalla - Unnset;SN72650;2019-09-13;19.1
Overhalla - Unnset;SN72650;2019-09-14;20.8
Overhalla - Unnset;SN72650;2019-09-15;10.7
Overhalla - Unnset;SN72650;2019-09-16;21
Overhalla - Unnset;SN72650;2019-09-17;29.4
Overhalla - Unnset;SN72650;2019-09-18;5.1
Overhalla - Unnset;SN72650;2019-09-19;7.3
Overhalla - Unnset;SN72650;2019-09-20;12.1
Overhalla - Unnset;SN72650;2019-09-21;76.8
Overhalla - Unnset;SN72650;2019-09-22;5.8
Overhalla - Unnset;SN72650;2019-09-23;0
Overhalla - Unnset;SN72650;2019-09-24;0
Overhalla - Unnset;SN72650;2019-09-25;0
Overhalla - Unnset;SN72650;2019-09-26;0
Overhalla - Unnset;SN72650;2019-09-27;0
Overhalla - Unnset;SN72650;2019-09-28;0
Overhalla - Unnset;SN72650;2019-09-29;0
Overhalla - Unnset;SN72650;2019-09-30;7.3
Overhalla - Unnset;SN72650;2019-10-01;0.2
Overhalla - Unnset;SN72650;2019-10-02;1.5
Overhalla - Unnset;SN72650;2019-10-03;2.7
Overhalla - Unnset;SN72650;2019-10-04;0
Overhalla - Unnset;SN72650;2019-10-05;0
Overhalla - Unnset;SN72650;2019-10-06;0
Overhalla - Unnset;SN72650;2019-10-07;0
Overhalla - Unnset;SN72650;2019-10-08;0
Overhalla - Unnset;SN72650;2019-10-09;0
Overhalla - Unnset;SN72650;2019-10-10;0
Overhalla - Unnset;SN72650;2019-10-11;0
Overhalla - Unnset;SN72650;2019-10-12;0.1
Overhalla - Unnset;SN72650;2019-10-13;3.5
Overhalla - Unnset;SN72650;2019-10-14;0.7
Overhalla - Unnset;SN72650;2019-10-15;0
Overhalla - Unnset;SN72650;2019-10-16;0
Overhalla - Unnset;SN72650;2019-10-17;0.3
Overhalla - Unnset;SN72650;2019-10-18;0
Overhalla - Unnset;SN72650;2019-10-19;0.5
Overhalla - Unnset;SN72650;2019-10-20;0
Overhalla - Unnset;SN72650;2019-10-21;0.1
Overhalla - Unnset;SN72650;2019-10-22;2.1
Overhalla - Unnset;SN72650;2019-10-23;5.5
Overhalla - Unnset;SN72650;2019-10-24;13.8
Overhalla - Unnset;SN72650;2019-10-25;2
Overhalla - Unnset;SN72650;2019-10-26;20
Overhalla - Unnset;SN72650;2019-10-27;13.2
Overhalla - Unnset;SN72650;2019-10-28;8.4
Overhalla - Unnset;SN72650;2019-10-29;4.7
Overhalla - Unnset;SN72650;2019-10-30;4.1
Overhalla - Unnset;SN72650;2019-10-31;24.3
Overhalla - Unnset;SN72650;2019-11-01;2.2
Overhalla - Unnset;SN72650;2019-11-02;4.5
Overhalla - Unnset;SN72650;2019-11-03;0.9
Overhalla - Unnset;SN72650;2019-11-04;0
Overhalla - Unnset;SN72650;2019-11-05;0
Overhalla - Unnset;SN72650;2019-11-06;0
Overhalla - Unnset;SN72650;2019-11-07;0
Overhalla - Unnset;SN72650;2019-11-08;0
Overhalla - Unnset;SN72650;2019-11-09;0
Overhalla - Unnset;SN72650;2019-11-10;0
Overhalla - Unnset;SN72650;2019-11-11;0
Overhalla - Unnset;SN72650;2019-11-12;0
Overhalla - Unnset;SN72650;2019-11-13;0
Overhalla - Unnset;SN72650;2019-11-14;0
Overhalla - Unnset;SN72650;2019-11-15;0
Overhalla - Unnset;SN72650;2019-11-16;0
Overhalla - Unnset;SN72650;2019-11-17;0.3
Overhalla - Unnset;SN72650;2019-11-18;0.1
Overhalla - Unnset;SN72650;2019-11-19;11.5
Overhalla - Unnset;SN72650;2019-11-20;14.3
Overhalla - Unnset;SN72650;2019-11-21;0
Overhalla - Unnset;SN72650;2019-11-22;0
Overhalla - Unnset;SN72650;2019-11-23;0
Overhalla - Unnset;SN72650;2019-11-24;0
Overhalla - Unnset;SN72650;2019-11-25;0
Overhalla - Unnset;SN72650;2019-11-26;0.5
Overhalla - Unnset;SN72650;2019-11-27;0
Overhalla - Unnset;SN72650;2019-11-28;0
Overhalla - Unnset;SN72650;2019-11-29;8
Overhalla - Unnset;SN72650;2019-11-30;11.5
Overhalla - Unnset;SN72650;2019-12-01;13.3
Overhalla - Unnset;SN72650;2019-12-02;4.5
Overhalla - Unnset;SN72650;2019-12-03;6.6
Overhalla - Unnset;SN72650;2019-12-04;23.5
Overhalla - Unnset;SN72650;2019-12-05;5.2
Overhalla - Unnset;SN72650;2019-12-06;7.5
Overhalla - Unnset;SN72650;2019-12-07;10.8
Overhalla - Unnset;SN72650;2019-12-08;7.7
Overhalla - Unnset;SN72650;2019-12-09;0.8
Overhalla - Unnset;SN72650;2019-12-10;5.3
Overhalla - Unnset;SN72650;2019-12-11;2.5
Overhalla - Unnset;SN72650;2019-12-12;0.5
Overhalla - Unnset;SN72650;2019-12-13;0
Overhalla - Unnset;SN72650;2019-12-14;0
Overhalla - Unnset;SN72650;2019-12-15;0
Overhalla - Unnset;SN72650;2019-12-16;0
Overhalla - Unnset;SN72650;2019-12-17;4.3
Overhalla - Unnset;SN72650;2019-12-18;1
Overhalla - Unnset;SN72650;2019-12-19;1.2
Overhalla - Unnset;SN72650;2019-12-20;0
Overhalla - Unnset;SN72650;2019-12-21;0.1
Overhalla - Unnset;SN72650;2019-12-22;1.5
Overhalla - Unnset;SN72650;2019-12-23;2.6
Overhalla - Unnset;SN72650;2019-12-24;0.9
Overhalla - Unnset;SN72650;2019-12-25;0
Overhalla - Unnset;SN72650;2019-12-26;0
Overhalla - Unnset;SN72650;2019-12-27;0
Overhalla - Unnset;SN72650;2019-12-28;6.3
Overhalla - Unnset;SN72650;2019-12-29;15.3
Overhalla - Unnset;SN72650;2019-12-30;23.6
Overhalla - Unnset;SN72650;2019-12-31;24.5
Overhalla - Unnset;SN72650;2020-01-01;42
Overhalla - Unnset;SN72650;2020-01-02;17.6
Overhalla - Unnset;SN72650;2020-01-03;15.5
Overhalla - Unnset;SN72650;2020-01-04;8.1
Overhalla - Unnset;SN72650;2020-01-05;4.2
Overhalla - Unnset;SN72650;2020-01-06;14.9
Overhalla - Unnset;SN72650;2020-01-07;5.6
Overhalla - Unnset;SN72650;2020-01-08;6.2
Overhalla - Unnset;SN72650;2020-01-09;13.6
Overhalla - Unnset;SN72650;2020-01-10;3
Overhalla - Unnset;SN72650;2020-01-11;8.2
Overhalla - Unnset;SN72650;2020-01-12;9.5
Overhalla - Unnset;SN72650;2020-01-13;21.9
Overhalla - Unnset;SN72650;2020-01-14;10
Overhalla - Unnset;SN72650;2020-01-15;0.1
Overhalla - Unnset;SN72650;2020-01-16;5.7
Overhalla - Unnset;SN72650;2020-01-17;3.3
Overhalla - Unnset;SN72650;2020-01-18;0.1
Overhalla - Unnset;SN72650;2020-01-19;8.2
Overhalla - Unnset;SN72650;2020-01-20;12.6
Overhalla - Unnset;SN72650;2020-01-21;18
Overhalla - Unnset;SN72650;2020-01-22;15.1
Overhalla - Unnset;SN72650;2020-01-23;17.6
Overhalla - Unnset;SN72650;2020-01-24;21
Overhalla - Unnset;SN72650;2020-01-25;11.8
Overhalla - Unnset;SN72650;2020-01-26;50.6
Overhalla - Unnset;SN72650;2020-01-27;13.9
Overhalla - Unnset;SN72650;2020-01-28;0
Overhalla - Unnset;SN72650;2020-01-29;0
Overhalla - Unnset;SN72650;2020-01-30;0
Overhalla - Unnset;SN72650;2020-01-31;0
Overhalla - Unnset;SN72650;2020-02-01;2.2
Overhalla - Unnset;SN72650;2020-02-02;8.9
Overhalla - Unnset;SN72650;2020-02-03;4.5
Overhalla - Unnset;SN72650;2020-02-04;0
Overhalla - Unnset;SN72650;2020-02-05;18.7
Overhalla - Unnset;SN72650;2020-02-06;9
Overhalla - Unnset;SN72650;2020-02-07;6.9
Overhalla - Unnset;SN72650;2020-02-08;1.4
Overhalla - Unnset;SN72650;2020-02-09;0
Overhalla - Unnset;SN72650;2020-02-10;2.7
Overhalla - Unnset;SN72650;2020-02-11;23
Overhalla - Unnset;SN72650;2020-02-12;0.4
Overhalla - Unnset;SN72650;2020-02-13;9.7
Overhalla - Unnset;SN72650;2020-02-14;3.6
Overhalla - Unnset;SN72650;2020-02-15;1.1
Overhalla - Unnset;SN72650;2020-02-16;5
Overhalla - Unnset;SN72650;2020-02-17;0.2
Overhalla - Unnset;SN72650;2020-02-18;8.1
Overhalla - Unnset;SN72650;2020-02-19;12.2
Overhalla - Unnset;SN72650;2020-02-20;0
Overhalla - Unnset;SN72650;2020-02-21;0.6
Overhalla - Unnset;SN72650;2020-02-22;6.5
Overhalla - Unnset;SN72650;2020-02-23;9
Overhalla - Unnset;SN72650;2020-02-24;5.6
Overhalla - Unnset;SN72650;2020-02-25;2.5
Overhalla - Unnset;SN72650;2020-02-26;0
Overhalla - Unnset;SN72650;2020-02-27;0
Overhalla - Unnset;SN72650;2020-02-28;0
Overhalla - Unnset;SN72650;2020-02-29;0.5
Overhalla - Unnset;SN72650;2020-03-01;1.5
Overhalla - Unnset;SN72650;2020-03-02;1
Overhalla - Unnset;SN72650;2020-03-03;0
Overhalla - Unnset;SN72650;2020-03-04;0
Overhalla - Unnset;SN72650;2020-03-05;0.1
Overhalla - Unnset;SN72650;2020-03-06;4.1
Overhalla - Unnset;SN72650;2020-03-07;3
Overhalla - Unnset;SN72650;2020-03-08;1.4
Overhalla - Unnset;SN72650;2020-03-09;3.2
Overhalla - Unnset;SN72650;2020-03-10;0.1
Overhalla - Unnset;SN72650;2020-03-11;0
Overhalla - Unnset;SN72650;2020-03-12;3
Overhalla - Unnset;SN72650;2020-03-13;8.8
Overhalla - Unnset;SN72650;2020-03-14;2.5
Overhalla - Unnset;SN72650;2020-03-15;0.7
Overhalla - Unnset;SN72650;2020-03-16;1.6
Overhalla - Unnset;SN72650;2020-03-17;0
Overhalla - Unnset;SN72650;2020-03-18;10
Overhalla - Unnset;SN72650;2020-03-19;12.8
Overhalla - Unnset;SN72650;2020-03-20;0.5
Overhalla - Unnset;SN72650;2020-03-21;6
Overhalla - Unnset;SN72650;2020-03-22;0
Overhalla - Unnset;SN72650;2020-03-23;0
