Date;Location;Sublocation;Block;Treatment;Subplot;Microtopography;Sph_ang;Sph_cap;Sph_ten;Sph_pap;Sph_div;Sph_rus;Sph_com;Sph_maj;Sph_bal;Sph_fus;Sph_rip;Sph_cf;Total;Notat
13.09.2021;HM;2;2;S1;2;5;25;5;15;8;;;;;;;;;53;
13.09.2021;HM;2;2;S1;3;5;30;10;8;10;;;;;;;;;58;
13.09.2021;HM;2;2;S1;4;4;20;15;10;5;;;;;;;;;50;
13.09.2021;HM;2;2;S2;1;2;40;5;10;3;;;;;;;;;58;
13.09.2021;HM;2;2;S2;2;1;30;10;10;30;;;;;;;;;80;
13.09.2021;HM;2;2;S2;3;2;50;10;15;2;;;;;;;;;77;
13.09.2021;HM;2;2;S2;4;3;40;15;10;20;;;;;;;;;85;
13.09.2021;HM;2;3;S1;1;2;55;5;15;3;;;;;;;;;78;smårute 10
13.09.2021;HM;2;3;S1;2;3;40;3;25;4;;;;;;;;;75;
13.09.2021;HM;2;3;S1;3;2;45;5;20;0;;;;;;;;;70;
13.09.2021;HM;2;3;S1;4;2;30;2;20;1;;;;;;;;;53;
13.09.2021;HM;2;3;S2;1;1;50;10;20;10;;;;;;;;;90;
13.09.2021;HM;2;3;S2;2;2;60;20;10;2;;;;;;;;;92;
13.09.2021;HM;2;3;S2;3;3;60;5;10;5;;;;;;;;;80;smårute 6
13.09.2021;HM;2;3;S2;4;2;30;2;30;5;;;;;;;;;67;
13.09.2021;HM;2;4;S1;1;2;25;0;15;1;;;;;;;;;41;
13.09.2021;HM;2;4;S1;2;2;35;10;15;15;;;;;;;;;75;
13.09.2021;HM;2;4;S1;3;3;40;0;10;10;;;;;;;;;60;
13.09.2021;HM;2;4;S1;4;2;60;0;30;0;;;;;;;;;90;
13.09.2021;HM;2;4;S2;1;4;20;4;10;6;;;;;;;;;40;
13.09.2021;HM;2;4;S2;2;3;15;5;5;0;;;;;;;;;25;
13.09.2021;HM;2;4;S2;3;2;10;6;20;7;;;;;;;;;43;
13.09.2021;HM;2;4;S2;4;4;15;10;10;10;;;;;;;;;45;
13.09.2021;HM;3;1;S1;1;3;8;4;12;1;;;;;;;;;25;
13.09.2021;HM;3;1;S1;2;3;10;15;10;4;;;;;;;;;39;
13.09.2021;HM;3;1;S1;3;2;10;7;5;7;;;;;;;;;29;
13.09.2021;HM;3;1;S1;4;3;5;5;8;2;;;;;;;;;20;
13.09.2021;HM;3;1;S2;1;1;2;;;3;;;;;;;;;5;
13.09.2021;HM;3;1;S2;2;3;12;3;6;1;;;;;;;;;22;
13.09.2021;HM;3;1;S2;3;2;10;4;10;2;;;;;;;;;26;
13.09.2021;HM;3;1;S2;4;1;10;2;0;0;;;;;;;;;12;
13.09.2021;HM;3;2;S1;1;2;15;4;25;3;;;;;;;;;47;
13.09.2021;HM;3;2;S1;2;2;10;5;20;1;;;;;;;;;36;
