"","Name","Station","Time","Precipitation","Snow_depth","Year","Month","month","year","jday","month_name","Temp_type","Temp"
"119","Hoydalsmoan","SN71780",2019-02-09,0.2,NA,2019-01-01,2019-02-01,2,2019,40,"February","Max_temp",3.4
"120","Hoydalsmoan","SN71780",2019-02-09,0.2,NA,2019-01-01,2019-02-01,2,2019,40,"February","Mean_temp",1.4
"121","Hoydalsmoan","SN71780",2019-02-10,5.1,NA,2019-01-01,2019-02-01,2,2019,41,"February","Min_temp",-0.7
"122","Hoydalsmoan","SN71780",2019-02-10,5.1,NA,2019-01-01,2019-02-01,2,2019,41,"February","Max_temp",1.8
"123","Hoydalsmoan","SN71780",2019-02-10,5.1,NA,2019-01-01,2019-02-01,2,2019,41,"February","Mean_temp",0.1
"124","Hoydalsmoan","SN71780",2019-02-11,6.4,NA,2019-01-01,2019-02-01,2,2019,42,"February","Min_temp",-3.6
"125","Hoydalsmoan","SN71780",2019-02-11,6.4,NA,2019-01-01,2019-02-01,2,2019,42,"February","Max_temp",0.8
"126","Hoydalsmoan","SN71780",2019-02-11,6.4,NA,2019-01-01,2019-02-01,2,2019,42,"February","Mean_temp",-0.4
"127","Hoydalsmoan","SN71780",2019-02-12,12.5,NA,2019-01-01,2019-02-01,2,2019,43,"February","Min_temp",-1.3
"128","Hoydalsmoan","SN71780",2019-02-12,12.5,NA,2019-01-01,2019-02-01,2,2019,43,"February","Max_temp",1.3
"129","Hoydalsmoan","SN71780",2019-02-12,12.5,NA,2019-01-01,2019-02-01,2,2019,43,"February","Mean_temp",0.9
"130","Hoydalsmoan","SN71780",2019-02-13,14.4,NA,2019-01-01,2019-02-01,2,2019,44,"February","Min_temp",0.3
"131","Hoydalsmoan","SN71780",2019-02-13,14.4,NA,2019-01-01,2019-02-01,2,2019,44,"February","Max_temp",6.6
"132","Hoydalsmoan","SN71780",2019-02-13,14.4,NA,2019-01-01,2019-02-01,2,2019,44,"February","Mean_temp",4.5
"133","Hoydalsmoan","SN71780",2019-02-14,6.7,NA,2019-01-01,2019-02-01,2,2019,45,"February","Min_temp",1.4
